dataset,classes,error,tiempo
Strawberry,2,0.062091503268,0.0018630027771
ChlorineConcentration,3,0.349830685074,0.00157999992371
PhalangesOutlinesCorrect,2,0.239206534422,0.0037670135498
DistalPhalanxOutlineCorrect,2,0.248747913189,0.000842094421387
uWaveGestureLibrary_Z,8,0.351019268361,0.0318779945374
Ham,2,0.394230769231,0.000893115997314
wafer,2,0.00454324192763,0.00370287895203
Two_Patterns,4,0.0932733183296,0.00344300270081
ProximalPhalanxOutlineCorrect,2,0.193103448276,0.00138211250305
uWaveGestureLibrary_X,8,0.260262496509,0.012001991272
uWaveGestureLibrary_Y,8,0.338173694499,0.00692391395569
ProximalPhalanxOutlineAgeGroup,3,0.21568627451,0.000977993011475
yoga,2,0.167722574191,0.00244402885437
MiddlePhalanxOutlineCorrect,2,0.247078464107,0.000877141952515
dataset,classes,error,tiempo
Strawberry,2,0.331699346405,0.0141468048096
ChlorineConcentration,3,0.672310497525,0.0017409324646
PhalangesOutlinesCorrect,2,0.369894982497,0.0019998550415
DistalPhalanxOutlineCorrect,2,0.52754590985,0.000533819198608
uWaveGestureLibrary_Z,8,0.462161407428,0.00450801849365
Ham,2,0.230769230769,0.000618934631348
wafer,2,0.345610903781,0.00305199623108
Two_Patterns,4,0.536384096024,0.00262999534607
ProximalPhalanxOutlineCorrect,2,0.355172413793,0.000855207443237
uWaveGestureLibrary_X,8,0.369449874337,0.00525808334351
uWaveGestureLibrary_Y,8,0.4509913432,0.00541090965271
ProximalPhalanxOutlineAgeGroup,3,0.18137254902,0.000779867172241
yoga,2,0.513837945982,0.00195908546448
MiddlePhalanxOutlineCorrect,2,0.450751252087,0.000536918640137
