dataset,classes,error (comasa),inertia (comasa),tiempo (comasa),Error (segments 0.1),Inertia (segments 0.1),
Strawberry,2,0.393790849673,1.31761077496,1493.23554301,0.377450980392,0.890286026841,
ChlorineConcentration,3,0.645220109403,8.63105349137,1256.78767705,0.719197707736,8.70582081159,
PhalangesOutlinesCorrect,2,0.42707117853,1.52999390644,2444.91500807,0.338389731622,0.73873433338,
DistalPhalanxOutlineCorrect,2,0.393989983306,1.8625934848,308.367604017,0.519198664441,1.15274148627,
uWaveGestureLibrary_Z,8,0.389835241553,8.64502544687,6510.93921995,0.386484222284,12.2371477115,
Ham,2,0.278846153846,8.82441892198,1178.73116493,0.298076923077,10.3345726264,
wafer,2,0.313808210287,11.2159501212,2204.66084719,0.27973389583,12.5692278385,
Two_Patterns,4,0.0387596899225,4.94681524102,1844.4593339,0.0077519379845,5.58228722419,
ProximalPhalanxOutlineCorrect,2,0.279310344828,0.828549139248,597.607963085,0.372413793103,0.423113490231,
uWaveGestureLibrary_X,8,0.326445127059,9.25847181534,5661.00479007,0.303825746998,12.461026911,
uWaveGestureLibrary_Y,8,0.447640323932,7.91617896213,5649.43970799,0.423345434236,10.2868340592,
ProximalPhalanxOutlineAgeGroup,3,0.225490196078,0.662479751099,406.926270008,0.191176470588,0.262097318342,
yoga,2,0.45315105035,6.25252417752,3097.51553798,0.430143381127,6.84439937186,
MiddlePhalanxOutlineCorrect,2,0.442404006678,1.02651484111,297.184577942,0.524207011686,0.38699368084,
,,,,,,,
,,,,,,,
,,,,,,,
Wine,2,0.509433962264,0.560158505338,211.605746984,0.471698113208,0.0415656630646,144.315878153
MiddlePhalanxOutlineAgeGroup,3,0.320802005013,0.70272545235,144.770936966,0.238095238095,0.339896827504,73.2903392315
FaceAll,14,0.338661930136,8.66681285064,1059.09109998,0.275310834813,8.20069226698,735.476537943
Lighting7,7,0.222222222222,6.43884067852,469.035158873,0.25,7.43100924721,548.146819115
ProximalPhalanxTW,6,0.370927318296,0.43484454602,210.644931078,0.22305764411,0.149651899177,106.974946022
Cricket_X,12,0.437017994859,15.5853139463,2350.55111718,0.496143958869,20.6215108399,2716.16161895
Meat,3,0.491525423729,0.331949648956,666.165566921,0.152542372881,0.0219338217588,545.654806137
OSULeaf,6,0.53112033195,10.711954641,2117.54591203,0.54356846473,11.9296931892,2440.30327916
TwoLeadECG,2,0.137082601054,0.565851786928,24.2994110584,0.15992970123,0.386511384968,16.9405829906
MoteStrain,2,0.290167865707,4.91039258196,22.0718998909,0.163069544365,4.65873206686,18.266051054
Gun_Point,2,0.342281879195,1.18046909366,112.493684053,0.335570469799,1.34407826235,99.8383998871
synthetic_control,6,0.0267558528428,6.71256089986,229.992625952,0.0234113712375,7.21258364548,121.284108877
MedicalImages,10,0.574440052701,2.85980247825,570.356433153,0.592885375494,2.74508482824,377.881982088
ToeSegmentation2,2,0.178294573643,10.4397240812,244.50949192,0.193798449612,13.5460929605,318.519649982
ArrowHead,3,0.425287356322,1.32776014083,151.418721914,0.505747126437,0.825535366145,153.072980165
InsectWingbeatSound,11,0.627084386054,3.03470495236,986.692943096,0.612935826175,3.58139599525,1028.031178
Adiac,37,0.769230769231,0.471975908792,1059.05262017,0.553846153846,0.0945757567756,834.700123787
DistalPhalanxOutlineAgeGroup,3,0.160401002506,1.07867406416,137.323301077,0.160401002506,0.814732831002,70.4309689999
DiatomSizeReduction,4,0.101639344262,0.352224293954,111.776335001,0.196721311475,0.0562925600904,139.553190947
Cricket_Y,12,0.429305912596,14.7709119835,2124.61779284,0.53470437018,18.44151787,2638.16601014
CBF,3,0.0389321468298,8.32396260497,49.259483099,0.0600667408231,8.57560757988,50.4239480495
ECGFiveDays,2,0.390697674419,1.55150298727,39.5541260242,0.33488372093,1.83076227329,39.8787631989
ECG200,2,0.30303030303,3.83865911416,113.343884945,0.313131313131,2.56957284973,87.3471829891
Beef,5,0.448275862069,2.31763518216,315.840965986,0.620689655172,3.65741306377,501.395819187
Coffee,2,0.111111111111,0.98070433245,132.569396019,0.0,0.310580507704,139.076339006
50words,50,0.350220264317,2.51538465869,2056.348279,0.312775330396,2.44875483173,2469.46517801
SwedishLeaf,15,0.440705128205,1.76805551506,919.011353016,0.299679487179,1.25949208027,509.627535105
FISH,7,0.586206896552,1.1666510567,2081.98336506,0.310344827586,0.222400412261,1559.685004
ItalyPowerDemand,2,0.155642023346,1.48140399292,18.3423531055,0.214980544747,1.36711898652,8.23991107941
DistalPhalanxTW,6,0.298245614035,0.671839192361,145.829679966,0.280701754386,0.376643339486,68.9517140388
Symbols,6,0.0452716297787,0.371254450706,226.451764107,0.0553319919517,0.224188324255,243.098751068
FaceFour,4,0.16091954023,10.6208869058,180.53549695,0.0919540229885,11.2176655547,197.009423018
Plane,7,0.00961538461538,1.04178194747,226.552488089,0.00961538461538,0.31037514593,135.93573904
ToeSegmentation1,2,0.25550660793,13.2801439787,209.825681925,0.31718061674,16.1375733769,201.913129091
SonyAIBORobotSurface,2,0.153333333333,3.45164129162,17.1979730129,0.148333333333,3.62077245116,12.6052129269
Cricket_Z,12,0.375321336761,15.125199293,2384.57121921,0.537275064267,19.9432422842,2544.9545579
FacesUCR,14,0.134699853587,7.5124496974,390.024387836,0.132747681796,7.3452678412,313.682668924
MiddlePhalanxTW,6,0.454773869347,0.52904787123,161.298574924,0.414572864322,0.241716379711,88.0771050453
SonyAIBORobotSurfaceII,2,0.194327731092,5.39546764411,21.3825061321,0.224789915966,5.21121688975,15.4635369778
Trace,4,0.131313131313,0.561689758386,514.852225065,0.0505050505051,0.369947471354,526.500434875
ECG5000,5,0.137363858635,4.18179582356,1010.20734215,0.129139808846,3.05167581222,853.092495918
WordsSynonyms,25,0.660910518053,4.17693703233,1367.9308219,0.612244897959,4.81370979232,1536.93896985
