dataset,classes,error,inertia,tiempo
Wine,2,0.509433962264,0.560158505338,211.605746984
MiddlePhalanxOutlineAgeGroup,3,0.320802005013,0.70272545235,144.770936966
FaceAll,14,0.338661930136,8.66681285064,1059.09109998
Lighting7,7,0.222222222222,6.43884067852,469.035158873
ProximalPhalanxTW,6,0.370927318296,0.43484454602,210.644931078
Cricket_X,12,0.437017994859,15.5853139463,2350.55111718
Meat,3,0.491525423729,0.331949648956,666.165566921
OSULeaf,6,0.53112033195,10.711954641,2117.54591203
TwoLeadECG,2,0.137082601054,0.565851786928,24.2994110584
MoteStrain,2,0.290167865707,4.91039258196,22.0718998909
Gun_Point,2,0.342281879195,1.18046909366,112.493684053
synthetic_control,6,0.0267558528428,6.71256089986,229.992625952
MedicalImages,10,0.574440052701,2.85980247825,570.356433153
ToeSegmentation2,2,0.178294573643,10.4397240812,244.50949192
ArrowHead,3,0.425287356322,1.32776014083,151.418721914
InsectWingbeatSound,11,0.627084386054,3.03470495236,986.692943096
Adiac,37,0.769230769231,0.471975908792,1059.05262017
DistalPhalanxOutlineAgeGroup,3,0.160401002506,1.07867406416,137.323301077
DiatomSizeReduction,4,0.101639344262,0.352224293954,111.776335001
Cricket_Y,12,0.429305912596,14.7709119835,2124.61779284
CBF,3,0.0389321468298,8.32396260497,49.259483099
ECGFiveDays,2,0.390697674419,1.55150298727,39.5541260242
ECG200,2,0.30303030303,3.83865911416,113.343884945
Beef,5,0.448275862069,2.31763518216,315.840965986
Coffee,2,0.111111111111,0.98070433245,132.569396019
50words,50,0.350220264317,2.51538465869,2056.348279
SwedishLeaf,15,0.440705128205,1.76805551506,919.011353016
FISH,7,0.586206896552,1.1666510567,2081.98336506
ItalyPowerDemand,2,0.155642023346,1.48140399292,18.3423531055
DistalPhalanxTW,6,0.298245614035,0.671839192361,145.829679966
Symbols,6,0.0452716297787,0.371254450706,226.451764107
FaceFour,4,0.16091954023,10.6208869058,180.53549695
Plane,7,0.00961538461538,1.04178194747,226.552488089
ToeSegmentation1,2,0.25550660793,13.2801439787,209.825681925
SonyAIBORobotSurface,2,0.153333333333,3.45164129162,17.1979730129
Cricket_Z,12,0.375321336761,15.125199293,2384.57121921
FacesUCR,14,0.134699853587,7.5124496974,390.024387836
MiddlePhalanxTW,6,0.454773869347,0.52904787123,161.298574924
SonyAIBORobotSurfaceII,2,0.194327731092,5.39546764411,21.3825061321
Trace,4,0.131313131313,0.561689758386,514.852225065
ECG5000,5,0.137363858635,4.18179582356,1010.20734215
WordsSynonyms,25,0.660910518053,4.17693703233,1367.9308219
