dataset,batch_size,classes,error,inertia,tiempo
Strawberry,0.05,2,0.334967320261,0.884905295955,312.940519094
Strawberry,0.1,2,0.377450980392,0.890286026841,334.049475908
Strawberry,0.25,2,0.348039215686,1.0062396614,344.325070143
Strawberry,0.5,2,0.385620915033,0.990076144103,405.541319847
Strawberry,0.75,2,0.341503267974,1.17107944525,421.830281019
Strawberry,1,2,0.338235294118,1.06866214623,486.388101101
ChlorineConcentration,0.05,3,0.705131544673,9.61738343127,287.184177876
ChlorineConcentration,0.1,3,0.719197707736,8.70582081159,245.788222075
ChlorineConcentration,0.25,3,0.696275071633,9.4110211991,236.682196856
ChlorineConcentration,0.5,3,0.695754102631,9.22601726629,280.929484129
ChlorineConcentration,0.75,3,0.638707996874,9.54934313167,277.945893049
ChlorineConcentration,1,3,0.705392029174,9.37576719619,294.454134941
PhalangesOutlinesCorrect,0.05,2,0.34772462077,0.719971009142,205.924172878
PhalangesOutlinesCorrect,0.1,2,0.338389731622,0.73873433338,201.767575026
PhalangesOutlinesCorrect,0.25,2,0.395565927655,0.766933637259,202.835639
PhalangesOutlinesCorrect,0.5,2,0.357059509918,0.798353739459,280.448323965
PhalangesOutlinesCorrect,0.75,2,0.413068844807,0.853715553772,335.144737005
PhalangesOutlinesCorrect,1,2,0.462077012835,0.845867543378,349.412955046
DistalPhalanxOutlineCorrect,0.05,2,0.565943238731,1.25725578293,56.8746140003
DistalPhalanxOutlineCorrect,0.1,2,0.519198664441,1.15274148627,45.6824538708
DistalPhalanxOutlineCorrect,0.25,2,0.54590984975,1.10597695129,39.4623630047
DistalPhalanxOutlineCorrect,0.5,2,0.544240400668,1.16159825074,81.2469258308
DistalPhalanxOutlineCorrect,0.75,2,0.534223706177,1.21971482334,62.7200510502
DistalPhalanxOutlineCorrect,1,2,0.499165275459,1.19350821455,48.2799429893
ScreenType,0.05,3,0.612299465241,124.003549702,3106.18340302
ScreenType,0.1,3,0.609625668449,118.248960926,2800.2303369
ScreenType,0.25,3,0.609625668449,131.473475178,3274.87661791
ScreenType,0.5,3,0.585561497326,145.907379474,3719.30768204
ScreenType,0.75,3,0.593582887701,137.95790364,3485.77598095
ScreenType,1,3,0.580213903743,136.285924839,4516.64821196
uWaveGestureLibrary_Z,0.05,8,0.400446802569,12.3669213988,1799.73186898
uWaveGestureLibrary_Z,0.1,8,0.386484222284,12.2371477115,1693.65032911
uWaveGestureLibrary_Z,0.25,8,0.404077073443,13.3750616072,1753.04535103
uWaveGestureLibrary_Z,0.5,8,0.426696453505,16.2710650599,1952.34860897
uWaveGestureLibrary_Z,0.75,8,0.445406311086,20.569396505,1942.15691113
uWaveGestureLibrary_Z,1,8,0.451270594806,19.8284073542,2120.13912201
Ham,0.05,2,0.519230769231,13.1295124697,376.572244883
Ham,0.1,2,0.298076923077,10.3345726264,401.709131956
Ham,0.25,2,0.269230769231,10.8254504197,397.452755928
Ham,0.5,2,0.336538461538,11.6795093512,456.125638962
Ham,0.75,2,0.269230769231,12.1028060459,434.202309847
Ham,1,2,0.240384615385,11.0829396676,506.634364128
wafer,0.05,2,0.283141327276,11.9362468414,493.580857038
wafer,0.1,2,0.27973389583,12.5692278385,518.114982128
wafer,0.25,2,0.432581534967,17.0625161641,506.945244074
wafer,0.5,2,0.415706636378,18.7664401375,579.799219847
wafer,0.75,2,0.381956839202,18.7652102439,608.953588009
wafer,1,2,0.36897614798,20.0535872318,638.73415494
Two_Patterns,0.05,4,0.0395098774694,5.61302471374,362.671644926
Two_Patterns,0.1,4,0.0077519379845,5.58228722419,353.50583601
Two_Patterns,0.25,4,0.017504376094,5.74253647508,360.157590151
Two_Patterns,0.5,4,0.0182545636409,5.88460597487,415.621751785
Two_Patterns,0.75,4,0.0077519379845,5.9205712701,430.509517908
Two_Patterns,1,4,0.0127531882971,6.08261696134,494.208108902
ProximalPhalanxOutlineCorrect,0.05,2,0.341379310345,0.387939234573,82.8995270729
ProximalPhalanxOutlineCorrect,0.1,2,0.372413793103,0.423113490231,71.0688619614
ProximalPhalanxOutlineCorrect,0.25,2,0.355172413793,0.410657583412,80.7660048008
ProximalPhalanxOutlineCorrect,0.5,2,0.362068965517,0.419704093972,86.5365281105
ProximalPhalanxOutlineCorrect,0.75,2,0.362068965517,0.463252228985,91.0910739899
ProximalPhalanxOutlineCorrect,1,2,0.358620689655,0.464970308055,97.571862936
uWaveGestureLibrary_X,0.05,8,0.324211114214,12.2768011744,1817.91293693
uWaveGestureLibrary_X,0.1,8,0.303825746998,12.461026911,1781.05254006
uWaveGestureLibrary_X,0.25,8,0.327841385088,15.4002576045,1807.0544951
uWaveGestureLibrary_X,0.5,8,0.33873219771,18.0710425243,1917.26020098
uWaveGestureLibrary_X,0.75,8,0.346830494275,19.9728464218,1986.68603182
uWaveGestureLibrary_X,1,8,0.331750907568,19.8748119052,2083.26863694
uWaveGestureLibrary_Y,0.05,8,0.410220608769,11.8440910697,1913.10001802
uWaveGestureLibrary_Y,0.1,8,0.423345434236,10.2868340592,1801.79587388
uWaveGestureLibrary_Y,0.25,8,0.423066182631,12.1684279801,1787.1028769
uWaveGestureLibrary_Y,0.5,8,0.437028762915,13.2715384738,2012.42600584
uWaveGestureLibrary_Y,0.75,8,0.456576375314,18.1103650079,2078.09070516
uWaveGestureLibrary_Y,1,8,0.455180117286,17.995212385,2267.59079695
ProximalPhalanxOutlineAgeGroup,0.05,3,0.171568627451,0.244462628099,73.8395729065
ProximalPhalanxOutlineAgeGroup,0.1,3,0.191176470588,0.262097318342,59.7816171646
ProximalPhalanxOutlineAgeGroup,0.25,3,0.18137254902,0.242939374881,50.011289835
ProximalPhalanxOutlineAgeGroup,0.5,3,0.186274509804,0.256636175656,49.5536389351
ProximalPhalanxOutlineAgeGroup,0.75,3,0.166666666667,0.242198886724,53.4580070972
ProximalPhalanxOutlineAgeGroup,1,3,0.176470588235,0.254694547937,52.0776400566
yoga,0.05,2,0.422140713571,5.17490447334,942.924659014
yoga,0.1,2,0.430143381127,6.84439937186,929.348716021
yoga,0.25,2,0.564188062688,7.04428802136,985.264573097
yoga,0.5,2,0.543514504835,8.93585725527,1127.89046311
yoga,0.75,2,0.554518172724,10.194343552,1142.19800496
yoga,1,2,0.47982660887,10.7306951275,1316.58903909
MiddlePhalanxOutlineCorrect,0.05,2,0.564273789649,0.443358640193,56.1606099606
MiddlePhalanxOutlineCorrect,0.1,2,0.524207011686,0.38699368084,41.430120945
MiddlePhalanxOutlineCorrect,0.25,2,0.530884808013,0.389652063766,38.1336839199
MiddlePhalanxOutlineCorrect,0.5,2,0.50918196995,0.406267303182,37.6694190502
MiddlePhalanxOutlineCorrect,0.75,2,0.535893155259,0.393161750291,42.5574920177
MiddlePhalanxOutlineCorrect,1,2,0.515859766277,0.388527534123,44.1369771957
