dataset,batch_size,classes,error,inertia,tiempo
dataset,batch_size,classes,error,inertia,tiempo
Wine,1,2,0.471698113208,0.0415656630646,144.315878153
MiddlePhalanxOutlineAgeGroup,1,3,0.238095238095,0.339896827504,73.2903392315
ShapeletSim,1,2,0.307262569832,118.615994316,352.645975828
FaceAll,1,14,0.275310834813,8.20069226698,735.476537943
Lighting7,1,7,0.25,7.43100924721,548.146819115
ProximalPhalanxTW,1,6,0.22305764411,0.149651899177,106.974946022
Cricket_X,1,12,0.496143958869,20.6215108399,2716.16161895
Meat,1,3,0.152542372881,0.0219338217588,545.654806137
OSULeaf,1,6,0.54356846473,11.9296931892,2440.30327916
TwoLeadECG,1,2,0.15992970123,0.386511384968,16.9405829906
MoteStrain,1,2,0.163069544365,4.65873206686,18.266051054
Gun_Point,1,2,0.335570469799,1.34407826235,99.8383998871
synthetic_control,1,6,0.0234113712375,7.21258364548,121.284108877
MedicalImages,1,10,0.592885375494,2.74508482824,377.881982088
ToeSegmentation2,1,2,0.193798449612,13.5460929605,318.519649982
ArrowHead,1,3,0.505747126437,0.825535366145,153.072980165
InsectWingbeatSound,1,11,0.612935826175,3.58139599525,1028.031178
Adiac,1,37,0.553846153846,0.0945757567756,834.700123787
DistalPhalanxOutlineAgeGroup,1,3,0.160401002506,0.814732831002,70.4309689999
DiatomSizeReduction,1,4,0.196721311475,0.0562925600904,139.553190947
Cricket_Y,1,12,0.53470437018,18.44151787,2638.16601014
CBF,1,3,0.0600667408231,8.57560757988,50.4239480495
ECGFiveDays,1,2,0.33488372093,1.83076227329,39.8787631989
ECG200,1,2,0.313131313131,2.56957284973,87.3471829891
Beef,1,5,0.620689655172,3.65741306377,501.395819187
Coffee,1,2,0.0,0.310580507704,139.076339006
50words,1,50,0.312775330396,2.44875483173,2469.46517801
SwedishLeaf,1,15,0.299679487179,1.25949208027,509.627535105
FISH,1,7,0.310344827586,0.222400412261,1559.685004
ItalyPowerDemand,1,2,0.214980544747,1.36711898652,8.23991107941
DistalPhalanxTW,1,6,0.280701754386,0.376643339486,68.9517140388
Symbols,1,6,0.0553319919517,0.224188324255,243.098751068
FaceFour,1,4,0.0919540229885,11.2176655547,197.009423018
Plane,1,7,0.00961538461538,0.31037514593,135.93573904
ToeSegmentation1,1,2,0.31718061674,16.1375733769,201.913129091
SonyAIBORobotSurface,1,2,0.148333333333,3.62077245116,12.6052129269
Cricket_Z,1,12,0.537275064267,19.9432422842,2544.9545579
FacesUCR,1,14,0.132747681796,7.3452678412,313.682668924
MiddlePhalanxTW,1,6,0.414572864322,0.241716379711,88.0771050453
SonyAIBORobotSurfaceII,1,2,0.224789915966,5.21121688975,15.4635369778
Trace,1,4,0.0505050505051,0.369947471354,526.500434875
ECG5000,1,5,0.129139808846,3.05167581222,853.092495918
WordsSynonyms,1,25,0.612244897959,4.81370979232,1536.93896985
