Sun Apr  9 21:22:48 2017    restats

         203716413 function calls (165492090 primitive calls) in 70.339 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
11714741/474628   19.762    0.000   49.391    0.000 copy.py:226(_deepcopy_list)
26976218/5159   17.450    0.000   50.734    0.010 copy.py:145(deepcopy)
   263580   11.427    0.000   12.315    0.000 dtw.py:27(dtw)
 11869511    4.521    0.000    5.701    0.000 copy.py:267(_keep_alive)
 59846336    3.813    0.000    3.813    0.000 {method 'append' of 'list' objects}
     2866    3.528    0.001    3.533    0.001 DBA.py:6(f)
 38851194    3.428    0.000    3.428    0.000 {method 'get' of 'dict' objects}
 50581106    2.462    0.000    2.462    0.000 {id}
     1382    1.053    0.001    7.511    0.005 DBA.py:19(g)
        1    0.641    0.641   69.572   69.572 ag_comasa.py:37(ag)
        
     9200    0.345    0.000    0.736    0.000 generate.py:6(generate)
   300108    0.254    0.000    0.269    0.000 random.py:175(randrange)
     5159    0.242    0.000   50.658    0.010 copy.py:306(_reconstruct)
       51    0.212    0.004    0.240    0.005 support.py:198(compile)
       50    0.184    0.004   49.248    0.985 ag_comasa.py:19(varAnd)
     2562    0.170    0.000    0.170    0.000 {operator.eq}
   127195    0.121    0.000    0.121    0.000 {zip}
     1483    0.115    0.000    8.238    0.006 fitness.py:7(fitness)
1778622/1774971    0.098    0.000    0.099    0.000 {len}
   300108    0.093    0.000    0.362    0.000 random.py:238(randint)
   156148    0.043    0.000    0.043    0.000 {range}
     5159    0.042    0.000    0.042    0.000 {method '__reduce_ex__' of 'object' objects}
    50000    0.024    0.000    0.029    0.000 random.py:273(choice)
   449056    0.023    0.000    0.023    0.000 {method 'random' of '_random.Random' objects}
     5364    0.022    0.000    0.041    0.000 {max}
       51    0.021    0.000    1.908    0.037 support.py:511(update)
     5159    0.017    0.000    0.051    0.000 copy.py:234(_deepcopy_tuple)
      494    0.017    0.000    0.019    0.000 crossover.py:6(crossover)
        1    0.016    0.016   70.339   70.339 <string>:1(<module>)
     5000    0.015    0.000    0.044    0.000 selection.py:11(selRandom)
    50100    0.013    0.000    0.023    0.000 base.py:227(__gt__)
5359/5259    0.012    0.000    0.777    0.000 creator.py:143(initType)
   134134    0.012    0.000    0.012    0.000 copy.py:198(_deepcopy_atomic)
