time, fithttp://localhost:8888/notebooks/Experimentos%20comasa_vs_segmentsbatchs.ipynb#ness
22.18779, 27.72955
45.07039, 26.76755
67.58788, 25.23108
90.92062, 24.83662
117.30723, 24.41406
140.39687, 24.3315
163.57859, 24.3602
186.79677, 24.11722
209.58563, 23.70314
232.89007, 23.61993
256.76908, 23.34344
280.63338, 22.91707
303.9935, 22.97151
327.31902, 22.73247
351.09123, 22.78783
374.58423, 22.78374
400.97682, 22.75998
424.55925, 22.20216
451.25884, 22.16222
474.80093, 22.22025
498.66021, 21.98706
527.49779, 22.21932
550.8618, 21.94984
574.19029, 21.88219
597.6144, 21.88077
624.60551, 21.74626
647.76095, 21.77714
674.46676, 21.80322
703.19387, 21.83822
729.62365, 21.7801
