time, fitness
0.0, 34.49055
24.88837, 29.37043
47.33983, 29.36322
62.60753, 29.08319
73.45106, 28.94186
89.99906, 28.43004
105.37103, 28.4927
118.22041, 27.94755
128.23974, 27.94755
146.03379, 27.54992
160.32869, 27.31777
171.31109, 27.3177
186.48305, 27.24171
209.14101, 26.98535
228.7123, 26.9341
247.62671, 26.77032
264.19482, 26.77032
276.48303, 26.64052
291.26413, 26.53572
309.2767, 26.47562
324.84522, 26.46537
337.69823, 26.46537
353.39525, 26.26349
372.19208, 26.15699
392.08109, 26.15699
405.10536, 26.0473
416.99115, 26.0473
433.39237, 25.9871
444.26059, 25.95865
459.11722, 25.83062
471.92682, 25.67696
486.8443, 25.67696
500.9606, 25.64913
509.58429, 25.54616
521.14369, 25.54616
530.39357, 25.42132
541.41341, 25.4203
550.70789, 25.4203
556.32312, 25.40246
562.48748, 25.36835
571.6517, 25.32935
