time, fitness
0.0, 85.09198
70.09398, 70.84638
124.69852, 65.01901
180.25758, 58.48211
232.65245, 58.48211
271.29143, 56.86676
290.01837, 54.54317
321.0411, 54.47476
356.01919, 53.82389
399.06995, 51.99749
437.86076, 50.37533
487.01997, 50.24582
534.52643, 50.00665
565.15258, 48.63785
604.46577, 45.49612
638.99426, 44.52677
686.64895, 43.6316
734.85682, 43.27789
779.83751, 42.1802
833.65218, 41.18482
878.70898, 39.76949
915.97279, 39.21805
951.67142, 39.28128
983.4852, 37.79667
1020.74594, 36.71001
1052.66018, 36.74039
1093.94913, 35.39388
1138.27872, 35.36614
1177.72627, 34.09457
1224.35829, 34.09457
1259.15774, 32.19921
1288.95033, 31.90027
1328.31631, 31.88673
1357.44369, 31.75855
1386.50907, 30.77256
1433.33631, 30.59292
1478.07931, 30.27701
1527.18426, 29.85537
1565.88348, 29.50886
1599.19618, 29.13765
1630.14641, 27.87046
