time, fitness
0.0, 16.52552
69.67818, 15.73509
112.96666, 14.87832
156.44811, 14.25852
199.78567, 14.28565
242.31762, 14.19574
288.71158, 13.54849
339.24436, 12.49474
391.87198, 12.27619
432.62456, 12.36408
475.30075, 12.12532
514.31179, 11.85772
551.25137, 11.26896
583.91919, 10.39409
618.69926, 10.38731
650.68854, 10.04141
682.05178, 10.03449
711.25698, 9.8499
747.15573, 9.8499
765.34056, 9.86181
799.66787, 9.85915
832.99896, 9.689
873.29066, 9.72191
901.05492, 9.52004
941.59708, 9.4578
977.72456, 9.42951
997.66023, 9.24927
1025.61375, 9.16317
1062.99914, 8.35225
1105.31993, 8.31355
1144.43564, 8.18758
1185.11884, 8.10405
1213.92301, 7.90142
1251.89053, 7.80427
1288.02435, 7.65877
1319.50141, 7.48641
1362.63092, 7.47433
1400.66515, 7.41546
1447.55511, 7.26768
1490.75925, 7.28228
1526.42302, 7.21096
