time, fitness
0.0, 33.75272
26.03512, 26.16448
41.92294, 25.32522
58.35945, 24.99385
71.92243, 24.5208
86.13596, 24.08208
98.74046, 23.79327
112.38693, 23.60474
129.70509, 23.16475
144.9067, 22.86233
162.76614, 22.5042
176.72784, 22.33394
198.80683, 22.08102
213.97338, 21.85578
228.94654, 21.79098
247.43249, 21.71659
263.51923, 21.67924
277.63699, 21.64276
292.8227, 21.61595
305.25934, 21.49277
317.12667, 21.48389
331.649, 21.41125
346.03505, 21.38616
359.031, 21.25123
372.4236, 21.205
383.08688, 21.20491
399.46141, 21.18955
