time, fitness
0.0, 86.94654
61.50184, 36.70919
109.33528, 29.39962
162.79417, 26.31714
220.78058, 31.99581
279.27163, 30.60619
328.87702, 34.37
384.54703, 34.2186
443.18516, 30.52789
499.33113, 31.35284
552.92581, 27.79931
611.24431, 30.69245
666.49353, 32.09361
715.69757, 30.62287
768.78185, 33.25079
822.29858, 28.99973
875.80769, 25.62826
933.13473, 25.12374
989.25361, 19.99588
1042.09803, 20.38328
1101.0787, 19.52652
1156.13514, 19.55222
1210.70582, 20.12503
1262.15608, 19.97209
1315.67307, 22.4323
1367.79803, 21.35108
1430.71552, 21.79774
