time, fitness
0.0, 17.20198
77.911, 9.61432
141.07846, 6.71343
196.89534, 6.38587
246.42247, 5.65378
298.26182, 5.57254
351.17802, 5.05474
398.68248, 5.03795
448.58853, 4.91486
500.38911, 4.88465
536.49208, 4.77373
581.50151, 4.78494
634.74507, 5.28559
678.47124, 4.96319
721.22395, 4.90282
760.51442, 4.90748
808.98148, 4.92315
854.31484, 5.00458
892.90755, 4.78896
948.59275, 4.7405
996.65799, 4.51778
1044.24658, 4.45881
1107.04584, 4.4015
1146.38157, 4.37651
1185.47965, 4.35984
1229.60475, 4.36585
1275.21997, 4.35122
