time, fitness
0.0, 3.56991
1.91764, 3.43412
3.62238, 3.20285
5.16323, 3.14876
6.62449, 3.09063
8.06189, 2.97772
9.65842, 2.9449
11.48184, 2.95796
12.54508, 2.77851
13.60928, 2.8436
14.87268, 2.6814
15.91388, 2.6953
16.62956, 2.67359
17.65698, 2.66865
18.4859, 2.58263
19.85479, 2.56572
20.97704, 2.52128
22.3799, 2.52311
23.71182, 2.43353
24.84106, 2.41684
25.99561, 2.443
27.43476, 2.42999
28.63463, 2.42382
29.95766, 2.50042
31.58588, 2.42323
33.78462, 2.40983
35.23871, 2.41193
36.02515, 2.38654
36.99321, 2.38654
37.84342, 2.38654
38.41279, 2.37417
39.64493, 2.43763
40.86832, 2.34479
42.11476, 2.31967
43.66045, 2.27599
44.59364, 2.31967
45.26827, 2.31967
46.05823, 2.24248
47.10111, 2.18836
48.2478, 2.21718
49.37759, 2.23249
