time, fitness
0.0, 12.64206
6.47973, 10.46574
9.70473, 10.32505
12.89834, 10.16104
14.56164, 10.03199
16.74191, 9.97221
18.50189, 9.95677
20.59245, 9.83793
23.24069, 9.77541
25.50024, 9.63814
28.65819, 9.59441
30.91011, 9.51557
33.87036, 9.42007
36.0166, 9.30064
38.33444, 9.14883
40.65266, 9.12696
43.57753, 9.10253
45.50187, 9.06144
47.41719, 8.94133
49.40929, 8.90569
51.66047, 8.87035
53.69877, 8.81999
56.28315, 8.76774
58.39698, 8.67298
60.62504, 8.5093
63.19478, 8.51849
64.90589, 8.44819
66.73167, 8.38208
69.33523, 8.37191
71.27203, 8.32749
73.38174, 8.3209
75.58597, 8.30162
77.81223, 8.19375
80.43741, 8.15942
82.87272, 8.14774
84.58368, 8.14782
86.70301, 8.13467
89.17002, 8.09129
91.03283, 8.08771
93.03038, 8.05225
94.62133, 8.02875
