time, fitness
0.0, 1.31128
0.71715, 1.23057
1.36348, 1.18792
1.96011, 1.1351
2.52848, 1.07709
3.08656, 1.07021
3.62773, 0.99367
4.20138, 0.99107
4.76822, 0.98561
5.29571, 0.9723
5.80586, 1.0932
6.41873, 0.94685
6.94266, 0.94117
7.28995, 0.93709
7.80678, 0.9315
8.27529, 0.92943
8.77574, 0.92943
9.28356, 0.92984
9.74747, 0.92022
10.35924, 0.92137
10.79857, 0.92284
11.25325, 0.92316
11.66985, 0.92335
12.06042, 0.92335
12.47587, 0.93428
12.903, 0.92067
13.31804, 0.95013
13.92815, 0.91631
14.42747, 0.96353
14.90466, 0.91085
15.36421, 0.90918
15.81876, 0.91362
16.20874, 0.91442
16.65424, 0.91233
17.1285, 0.91886
17.62354, 0.91122
18.06345, 0.9176
18.51553, 0.91134
18.98596, 0.91033
19.40293, 1.11008
19.89506, 0.90659
