time, fitness
0.0, 3.47681
0.37162, 3.2263
0.62758, 3.2263
1.01448, 3.37621
1.39985, 3.14165
1.78702, 3.07026
2.29331, 3.07026
2.69831, 3.02813
2.82024, 3.07026
2.9655, 3.03633
3.17812, 3.03633
3.51867, 3.02352
3.68175, 3.01429
4.06582, 2.98344
4.40657, 2.99977
4.75753, 2.97697
5.03244, 2.95669
5.32414, 2.94644
5.66435, 2.95533
5.95492, 2.94627
6.48907, 2.9222
6.96181, 2.9153
7.4173, 2.9153
7.76041, 2.87566
8.04337, 2.87566
8.42903, 2.84864
8.82317, 2.83941
9.1047, 2.83941
9.36734, 2.83099
9.60064, 2.83099
9.813, 2.86003
10.06718, 2.8307
10.39402, 2.8243
10.54379, 2.82604
10.83515, 2.82376
11.15499, 2.82283
11.36086, 2.80985
11.58591, 2.80957
11.86946, 2.81946
12.05686, 2.81946
12.32625, 2.81497
