time, fitness
0.0, 13.95882
5.96693, 12.4526
11.95461, 12.34475
18.14137, 12.29944
20.82599, 12.29941
24.23176, 12.01913
30.51276, 12.01913
37.44383, 11.89411
44.54046, 11.7954
52.89611, 11.71439
60.74216, 11.69662
66.40596, 11.518
74.64255, 11.44315
87.05649, 11.33812
93.93883, 11.30462
100.48656, 11.1483
108.47456, 10.9805
114.64354, 10.9805
123.9661, 10.91329
132.69427, 10.82752
138.62855, 10.61656
145.04603, 10.61656
151.3192, 10.59114
153.20396, 10.58826
157.80101, 10.5063
164.25292, 10.48244
171.54488, 10.42734
