time, fitness
0.0, 8.40785
1.88475, 8.72093
3.19266, 7.70398
4.35342, 7.17608
5.5493, 6.1398
6.72499, 6.1398
7.65887, 6.03483
8.26502, 5.90843
9.31811, 5.59834
10.43725, 5.55313
11.66096, 5.55313
12.3237, 5.50468
12.75889, 5.50468
13.45395, 5.42588
13.87102, 5.42588
14.61944, 5.42588
15.09519, 5.42445
15.47154, 5.42588
15.86461, 5.33199
16.43532, 5.24118
17.32744, 5.24118
18.28472, 5.25481
19.2112, 5.18267
20.14146, 4.72207
21.15602, 4.71635
22.84082, 4.68262
24.6435, 4.68262
25.8157, 4.65033
26.62584, 4.65624
27.51471, 4.6538
28.30346, 4.63954
28.90423, 4.63954
29.4471, 4.63954
30.06025, 4.55568
30.73556, 4.53751
31.40159, 4.54173
32.39795, 4.67733
33.09497, 4.53593
33.49214, 4.39637
34.14683, 4.3964
35.20742, 4.38749
