time, fitness
0.0, 0.40605
0.48372, 0.37231
0.89797, 0.39218
1.24095, 0.38999
1.59816, 0.38734
1.98099, 0.38123
2.29547, 0.37902
2.61199, 0.37129
3.02818, 0.37467
3.38967, 0.3767
3.75328, 0.39767
4.08643, 0.39955
4.40195, 0.39957
4.69774, 0.38537
5.01665, 0.41334
5.35291, 0.40915
5.70726, 0.45532
6.08746, 0.40237
6.37936, 0.40143
6.67921, 0.40156
6.96925, 0.46011
7.30178, 0.39885
7.64884, 0.41813
8.01965, 0.40937
8.33773, 0.40122
8.60637, 0.45527
8.91587, 0.47301
9.26153, 0.45272
9.57137, 0.42888
9.9521, 0.51654
10.25218, 0.48053
10.55766, 0.47607
10.92077, 0.47645
11.30712, 0.47522
11.63973, 0.49347
11.90183, 0.45777
12.2116, 0.50014
12.52361, 0.45312
12.84308, 0.45941
13.11137, 0.48688
13.41201, 0.42867
