time, fitness
0.0, 1.08922
2.54566, 1.01399
4.19261, 0.96684
5.58187, 0.94214
6.56563, 0.93714
7.81212, 0.91418
9.54812, 0.90602
11.00937, 0.92279
12.17555, 0.88813
13.88635, 0.86228
15.02851, 0.86099
16.06184, 0.85335
17.09506, 0.84556
18.10041, 0.8459
19.09286, 0.84402
20.22562, 0.86039
21.28631, 0.83573
22.74096, 0.83111
24.50773, 0.83064
25.9673, 0.88385
27.1609, 0.89631
28.33636, 0.877
29.61811, 0.87721
30.72004, 0.86695
32.08081, 0.85884
33.21999, 0.85884
34.35754, 0.85715
35.57129, 0.86399
36.67461, 0.85725
37.90235, 0.85294
39.12259, 0.84767
40.4322, 0.84256
41.779, 0.84553
43.24357, 0.83972
44.40057, 0.83806
45.74604, 0.83392
47.01119, 0.83096
48.35362, 0.82906
49.68761, 0.83999
51.23511, 0.82837
52.34074, 0.82702
