time, fitness
0.0, 0.17658
0.31672, 0.17658
0.49689, 0.1764
0.62837, 0.17658
0.79018, 0.17658
0.91923, 0.17658
1.05906, 0.17797
1.23639, 0.18242
1.38737, 0.17658
1.52612, 0.17799
1.72189, 0.17654
1.89505, 0.17654
2.0225, 0.17667
2.18101, 0.17667
2.29549, 0.17654
2.43379, 0.17667
2.5648, 0.17667
2.73345, 0.17656
2.90332, 0.17656
3.06825, 0.17697
3.20043, 0.17697
3.32953, 0.17697
3.44289, 0.17697
3.60096, 0.17697
3.73708, 0.17692
3.9149, 0.17692
4.08314, 0.17692
4.25185, 0.17692
4.38625, 0.17697
4.57319, 0.17645
4.73022, 0.17645
4.88162, 0.17582
5.0878, 0.17509
5.22622, 0.17509
5.38033, 0.17554
5.5706, 0.17509
5.7175, 0.17582
5.88589, 0.17512
6.08313, 0.17512
6.21687, 0.17498
6.42486, 0.1738
