time, fitness
0.0, 0.46269
0.86204, 0.41928
1.56912, 0.40019
2.22977, 0.40271
2.78959, 0.40908
3.42603, 0.38267
4.06751, 0.39647
4.63064, 0.39287
5.12185, 0.38316
5.63449, 0.36615
6.16507, 0.35725
6.64804, 0.35648
7.19555, 0.35267
7.84743, 0.34637
8.41096, 0.34695
8.91376, 0.35114
9.5598, 0.34741
10.05267, 0.34894
10.81539, 0.34376
11.84386, 0.35731
12.84163, 0.37177
13.78975, 0.35179
14.40535, 0.34604
15.03765, 0.35911
15.6138, 0.36014
16.1574, 0.36784
16.64354, 0.33726
17.07014, 0.33691
17.57223, 0.34232
18.16321, 0.3376
18.73678, 0.3323
19.24723, 0.3323
19.83723, 0.3311
20.33425, 0.32945
20.92406, 0.32757
21.31947, 0.32757
22.0186, 0.34535
22.52731, 0.32706
23.07471, 0.32706
23.61469, 0.32429
24.0397, 0.32325
