time, fitness
0.0, 0.18861
0.40502, 0.18632
0.6727, 0.17876
0.82968, 0.17876
0.98991, 0.17876
1.13343, 0.17876
1.25555, 0.17876
1.39461, 0.18798
1.55276, 0.17876
1.70711, 0.17876
1.85679, 0.17889
1.97163, 0.17876
2.0981, 0.17881
2.25446, 0.17876
2.41564, 0.17876
2.62763, 0.1786
2.77149, 0.17876
2.943, 0.17876
3.06659, 0.17876
3.21947, 0.17876
3.37238, 0.18025
3.50812, 0.17875
3.66349, 0.17876
3.78017, 0.18875
3.92257, 0.17877
4.0681, 0.17871
4.25009, 0.17891
4.4055, 0.17891
4.53115, 0.17891
4.67251, 0.17891
4.81419, 0.17891
4.96215, 0.17891
5.15206, 0.17891
5.28248, 0.17891
5.40925, 0.18209
5.54948, 0.17993
5.7264, 0.17891
5.88421, 0.18296
6.11987, 0.18296
6.278, 0.18039
6.43699, 0.18023
