time, fitness
0.0, 1.95656
7.92159, 1.92908
14.63214, 1.75916
21.96468, 1.68872
26.86052, 1.657
34.39968, 1.61575
39.55598, 1.55815
44.72909, 1.53865
51.31395, 1.46595
56.05662, 1.43101
60.45772, 1.40331
65.55538, 1.37828
69.07347, 1.40681
72.0409, 1.3583
78.00724, 1.35648
81.84545, 1.32538
86.51017, 1.31534
89.5848, 1.31168
94.45691, 1.31175
96.93083, 1.31156
99.33641, 1.30981
101.9677, 1.30925
104.89544, 1.28045
108.17408, 1.28045
110.4613, 1.26286
116.32073, 1.26266
119.00111, 1.25263
120.74037, 1.25011
124.47107, 1.24968
128.61664, 1.23744
131.36371, 1.23642
133.49675, 1.23642
136.96697, 1.22782
140.40297, 1.21838
143.31704, 1.21838
145.21672, 1.21767
147.66008, 1.21767
149.77051, 1.21727
152.74832, 1.21375
157.21883, 1.21595
161.85504, 1.20757
