time, fitness
0.0, 6.2068
2.26542, 6.04195
4.45527, 5.89107
6.03862, 5.6134
7.163, 5.59968
8.45155, 5.53676
9.71547, 5.51313
11.06796, 5.50393
12.3354, 5.46884
13.71904, 5.46869
15.1131, 5.46082
17.02415, 5.41865
18.46216, 5.41384
20.32542, 5.40302
21.54489, 5.36977
23.31231, 5.35924
25.83561, 5.29953
27.77558, 5.29533
29.3245, 5.31546
30.62279, 5.28539
31.91431, 5.30126
33.17323, 5.3442
34.5855, 5.25033
36.12378, 5.22084
37.16465, 5.21297
38.23466, 5.19599
39.41621, 5.21423
41.10229, 5.19465
42.96432, 5.15532
44.0116, 5.13679
45.80572, 5.13218
47.08701, 5.11971
48.64969, 5.09409
50.33949, 5.09044
51.75546, 5.0849
53.24758, 5.07958
54.64165, 5.05325
55.80111, 5.08169
56.99685, 5.05458
57.91497, 5.06801
59.22834, 5.04646
