time, fitness
0.0, 27.91913
5.00995, 27.05473
9.38431, 25.75703
14.69845, 24.74295
19.26618, 24.4109
24.19297, 23.53475
28.09079, 23.47818
31.53928, 23.62541
34.80993, 22.75985
38.61309, 22.33659
43.39054, 21.28347
48.79593, 21.62226
52.67837, 20.80183
56.90295, 20.65813
61.29507, 20.71442
65.45476, 20.24105
69.27047, 20.00447
71.97764, 19.86188
75.05389, 19.56801
79.1154, 19.05857
82.07937, 19.27508
85.66136, 19.00642
90.2573, 18.71603
93.15374, 18.53777
96.0759, 18.52608
99.40056, 18.37026
102.92208, 18.11667
107.13153, 17.43951
110.59213, 17.27682
114.3473, 17.1124
118.51033, 17.0519
121.79356, 16.83823
125.24752, 16.50362
128.59472, 16.46982
131.8548, 15.64939
133.93835, 15.38427
137.37478, 15.38213
140.8749, 15.27524
144.20766, 15.24013
147.4592, 15.39375
150.99827, 15.26937
