time, fitness
0.0, 9.29672
4.45072, 8.65537
8.25582, 7.93293
13.51676, 7.32375
18.31823, 6.55544
21.88316, 5.9302
26.44133, 5.30253
30.55237, 5.20642
34.07272, 5.07931
37.81914, 4.92001
40.9659, 4.6445
43.97536, 4.20299
47.22555, 4.21004
49.90905, 4.17885
52.91482, 4.12321
55.59738, 4.13329
58.33055, 3.98395
61.39032, 3.88099
64.3272, 3.7723
67.2279, 3.7723
68.59063, 3.65927
71.53699, 3.61651
73.87092, 3.6375
77.64001, 3.49748
79.76806, 3.49103
81.2758, 3.45991
83.76693, 3.44809
85.87987, 3.45644
87.32682, 3.54899
89.35633, 3.45644
91.36096, 3.31143
94.17722, 3.05737
97.66083, 3.05737
100.8601, 2.99227
103.98419, 2.97784
106.30317, 2.99176
108.23843, 2.98973
110.66567, 2.98502
114.21042, 2.96594
118.0361, 2.94515
121.88418, 2.94697
