time, fitness
0.0, 16.64484
10.7379, 15.04049
19.7604, 14.68455
28.17005, 13.90706
36.9765, 11.9354
43.95067, 12.01973
51.85064, 11.51152
59.84915, 10.89772
68.02592, 10.40606
77.4322, 9.78766
86.64467, 9.16807
94.98233, 9.31365
104.94828, 8.61103
110.66785, 8.45957
116.8521, 8.12441
126.8074, 7.84501
133.41756, 7.68782
140.39241, 7.55222
148.27392, 7.56674
156.39234, 7.57416
164.83338, 7.35365
172.33005, 7.31842
177.44665, 7.38338
185.65667, 7.18696
192.32836, 6.91083
200.6775, 6.74873
208.63677, 6.57414
216.5688, 6.54388
222.68983, 6.56861
229.75863, 6.36334
235.32552, 6.26839
240.50446, 6.28402
246.47478, 6.17061
252.6604, 6.17528
260.2892, 6.13101
267.72318, 6.2095
274.03606, 6.13666
281.37011, 6.13079
288.91163, 5.99874
294.50969, 5.97867
300.7182, 5.94006
