time, fithttp://localhost:8888/notebooks/Experimentos%20comasa_vs_segmentsbatchs.ipynb#ness
45.15451, 83.73432
92.17245, 73.13864
143.73339, 72.12028
188.98854, 71.76447
237.14673, 63.4804
283.46233, 60.06945
328.99792, 57.34273
373.99148, 57.89904
418.98778, 56.33173
463.31276, 53.51771
509.68019, 45.69316
555.51066, 45.66463
600.30956, 47.09765
649.69828, 43.64525
691.5208, 43.51496
741.65386, 40.14274
786.63993, 40.01845
831.17841, 38.95669
886.33493, 36.21051
932.32161, 36.03408
974.3788, 33.01492
1021.5622, 33.09107
1071.0274, 28.34031
1112.8746, 28.33189
1165.88517, 28.04945
1210.97001, 27.69278
1255.10674, 27.39532
1307.09057, 26.20713
1349.21184, 25.68501
1395.58818, 25.49725
1441.98194, 24.00598
1498.65489, 23.38264
1540.63625, 23.00291
