time, fithttp://localhost:8888/notebooks/Experimentos%20comasa_vs_segmentsbatchs.ipynb#ness
59.32257, 12.09458
118.33386, 9.79661
176.97292, 10.80006
243.48441, 7.85762
309.27657, 9.00847
374.60306, 8.15943
442.54855, 8.36734
512.70786, 6.49486
579.8138, 7.40622
647.92334, 6.01015
713.98402, 6.12304
782.32415, 5.82156
852.06851, 5.35944
919.48053, 5.84885
988.36723, 5.26119
1054.44233, 5.59276
1121.31693, 5.489
1187.25098, 5.49289
1258.62661, 5.28768
1327.37902, 6.16483
1392.40868, 5.19874
1454.03097, 5.46466
1520.98999, 5.53857
1591.7677, 5.40243
1657.92478, 5.39794
1727.99465, 5.63277
1798.81561, 5.51984
1865.24535, 5.3813
1934.93142, 5.55407
2002.45595, 5.27448
